INFO  | 06/05/2025 03:37:08 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0370 iteration 00000370 = 0.010031971149146557
INFO  | 06/05/2025 03:37:12 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0380 iteration 00000380 = 0.010014517232775688
INFO  | 06/05/2025 03:37:17 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0390 iteration 00000390 = 0.009999935515224934
INFO  | 06/05/2025 03:37:22 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0400 iteration 00000400 = 0.009980524890124798
INFO  | 06/05/2025 03:37:22 AM | File gran_runner.py       | Line 270   | Saving Snapshot @ epoch 0400
INFO  | 06/05/2025 03:37:28 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0410 iteration 00000410 = 0.009959359653294086
INFO  | 06/05/2025 03:37:33 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0420 iteration 00000420 = 0.009937332943081856
INFO  | 06/05/2025 03:37:37 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0430 iteration 00000430 = 0.009914584457874298
INFO  | 06/05/2025 03:37:42 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0440 iteration 00000440 = 0.009890574030578136
INFO  | 06/05/2025 03:37:47 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0450 iteration 00000450 = 0.009863514453172684
INFO  | 06/05/2025 03:37:52 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0460 iteration 00000460 = 0.00983409397304058
INFO  | 06/05/2025 03:37:57 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0470 iteration 00000470 = 0.009798843413591385
INFO  | 06/05/2025 03:38:02 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0480 iteration 00000480 = 0.00976517517119646
INFO  | 06/05/2025 03:38:07 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0490 iteration 00000490 = 0.009730187244713306
INFO  | 06/05/2025 03:38:12 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0500 iteration 00000500 = 0.009698182344436646
INFO  | 06/05/2025 03:38:12 AM | File gran_runner.py       | Line 270   | Saving Snapshot @ epoch 0500
INFO  | 06/05/2025 03:38:17 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0510 iteration 00000510 = 0.00965239480137825
INFO  | 06/05/2025 03:38:22 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0520 iteration 00000520 = 0.0096103111281991
INFO  | 06/05/2025 03:38:26 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0530 iteration 00000530 = 0.009568002074956894
INFO  | 06/05/2025 03:38:31 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0540 iteration 00000540 = 0.009523849003016949
INFO  | 06/05/2025 03:38:36 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0550 iteration 00000550 = 0.009480265900492668
INFO  | 06/05/2025 03:38:41 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0560 iteration 00000560 = 0.00943618081510067
INFO  | 06/05/2025 03:38:46 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0570 iteration 00000570 = 0.009394409134984016
INFO  | 06/05/2025 03:38:51 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0580 iteration 00000580 = 0.009362565353512764
INFO  | 06/05/2025 03:38:56 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0590 iteration 00000590 = 0.00931673962622881
INFO  | 06/05/2025 03:39:00 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0600 iteration 00000600 = 0.009271345101296902
INFO  | 06/05/2025 03:39:00 AM | File gran_runner.py       | Line 270   | Saving Snapshot @ epoch 0600
INFO  | 06/05/2025 03:39:06 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0610 iteration 00000610 = 0.009223979897797108
INFO  | 06/05/2025 03:39:11 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0620 iteration 00000620 = 0.009181189350783825
INFO  | 06/05/2025 03:39:15 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0630 iteration 00000630 = 0.009138555265963078
INFO  | 06/05/2025 03:39:20 AM | File gran_runner.py       | Line 266   | NLL Loss @ epoch 0640 iteration 00000640 = 0.009093276225030422
